customer_id_integer,customer_name,email,address,city,country,gender
1,Ical Putri,ical.putri851@email.com,Jl. Diponegoro No.116,Tangerang,Indonesia,M
2,Sri Firmansyah,sri.firmansyah584@email.com,Jl. Diponegoro No.8,Malang,Indonesia,F
3,Bayu Pratama,bayu.pratama187@email.com,Jl. Diponegoro No.67,Yogyakarta,Indonesia,M
4,Rina Sari,rina.sari902@email.com,Jl. Merdeka No.3,Malang,Indonesia,F
5,Fitri Setiawan,fitri.setiawan88@email.com,Jl. Ahmad Yani No.143,Medan,Indonesia,F
6,Ratna Putri,ratna.putri708@email.com,Jl. Ahmad Yani No.5,Yogyakarta,Indonesia,F
7,Ahmad Nugroho,ahmad.nugroho227@email.com,Jl. Diponegoro No.170,Denpasar,Indonesia,M
8,Ayu Hartono,ayu.hartono485@email.com,Jl. Ahmad Yani No.191,Palembang,Indonesia,F
9,Doni Pratama,doni.pratama361@email.com,Jl. Diponegoro No.79,Batam,Indonesia,F
10,Dian Putri,dian.putri124@email.com,Jl. Diponegoro No.31,Batam,Indonesia,M
11,Yusuf Hidayat,yusuf.hidayat197@email.com,Jl. Diponegoro No.186,Medan,Indonesia,F
12,Ayu Purnama,ayu.purnama612@email.com,Jl. Gatot Subroto No.76,Semarang,Indonesia,M
13,Sri Hartono,sri.hartono184@email.com,Jl. Merdeka No.33,Semarang,Indonesia,M
14,Dian Wijaya,dian.wijaya998@email.com,Jl. Gatot Subroto No.164,Jakarta,Indonesia,F
15,Ical Suryadi,ical.suryadi106@email.com,Jl. Merdeka No.73,Bekasi,Indonesia,M
16,Bayu Suryadi,bayu.suryadi452@email.com,Jl. Sudirman No.65,Makassar,Indonesia,M
17,Ical Suryadi,ical.suryadi117@email.com,Jl. Ahmad Yani No.126,Bekasi,Indonesia,M
18,Ahmad Wijaya,ahmad.wijaya156@email.com,Jl. Sudirman No.64,Bandung,Indonesia,F
19,Dewi Lestari,dewi.lestari621@email.com,Jl. Merdeka No.98,Malang,Indonesia,M
20,Lina Firmansyah,lina.firmansyah305@email.com,Jl. Diponegoro No.146,Bekasi,Indonesia,F
